Reg.code;Label;FO;Retail.Vodka.2011.ps;Unemp.2011;Rural.2011;Below.Min.2011;Wage.ps.2011;Injury.2011;Murders.2011
1000;Российская Федерация;NA;10,7;6,6;26,1;12,7;20755;92,8;14305
1001;Центральный федеральный округ;ЦФО;12,1;4,2;18,4;NA;27091;85,8;2751
31;Белгородская область;ЦФО;7,2;4,4;33,6;8,6;18800;86;85
32;Брянская область;ЦФО;11,4;7,1;30,8;12,6;15348;100,9;110
33;Владимирская область;ЦФО;12,1;5,8;22,4;17,5;14312;93,1;139
36;Воронежская область;ЦФО;8,1;6,6;34,1;17,3;15871;55,9;138
37;Ивановская область;ЦФО;12;6,6;19;19;13006;95,6;76
40;Калужская область;ЦФО;11,4;5,6;24,1;11,1;17557;64,5;100
44;Костромская область;ЦФО;12,7;5,3;29,8;16,2;14823;94,3;56
46;Курская область;ЦФО;8,3;6,5;34,1;10,4;16387;71,5;77
48;Липецкая область;ЦФО;9;4,9;36,1;10,6;16811;95,6;114
50;Московская область;ЦФО;12,6;3,7;19,9;9,6;25605;79;692
57;Орловская область;ЦФО;8,6;6,3;34,3;14,5;14824;97,4;74
62;Рязанская область;ЦФО;8,5;7,3;29;16;14788;91,4;77
67;Смоленская область;ЦФО;11,8;7,7;27,4;17,3;15969;78,4;79
68;Тамбовская область;ЦФО;8,4;6,6;41,2;10,7;15151;55,8;77
69;Тверская область;ЦФО;14,7;6,1;25,1;13,5;14943;93,2;160
71;Тульская область;ЦФО;9,4;5,3;21;10,9;16975;63,4;116
76;Ярославская область;ЦФО;13;5,2;18,1;13,4;15509;118,7;90
77;г. Москва;ЦФО;14,8;1,4;NA;10;47319;95;491
1002;Северо-Западный федеральный округ;СЗФО;13;5,3;16,3;NA;21156;98,9;1294
10;Республика Карелия;СЗФО;18,7;8,7;21,6;15,7;17543;118,2;84
11;Республика Коми;СЗФО;16,4;8,5;22,8;16,4;23897;108,5;125
29;Архангельская область;СЗФО;16,2;6;23,8;14,4;21455;109,3;150
83;Ненецкий автономный округ;СЗФО;23,8;9,2;30,9;7,7;54632;NA;6
35;Вологодская область;СЗФО;13,6;7,5;28,8;17,1;15638;98,4;129
39;Калининградская область;СЗФО;14,2;9,2;22,5;12,7;16880;58,1;66
47;Ленинградская область;СЗФО;16,4;4,4;34,6;13;15932;47,8;230
51;Мурманская область;СЗФО;12,3;8,8;7,3;13,6;25303;112,4;52
53;Новгородская область;СЗФО;13,2;4,9;29,4;15;16981;99,5;81
60;Псковская область;СЗФО;15,1;9,2;29,8;16,7;14185;84,7;65
78;г. Санкт-Петербург;СЗФО;8,8;1,9;NA;9,1;25995;117,6;312
1003;Южный федеральный округ;ЮФО;6,1;7;37,5;NA;16584;79,4;1034
1;Республика Адыгея;ЮФО;6,8;8,4;53,1;14,6;14272;82,6;25
8;Республика Калмыкия;ЮФО;2,8;14,2;55,6;35,8;8829;44,4;39
23;Краснодарский край;ЮФО;6,3;6;46,7;13,5;18796;78,3;333
30;Астраханская область;ЮФО;8,7;8,9;33,3;14,2;16032;71,7;108
34;Волгоградская область;ЮФО;6,4;6,9;23,9;15,1;14519;75,5;244
61;Ростовская область;ЮФО;5,1;7,3;32,5;15,2;16010;87,1;285
1004;Северо-Кавказский федеральный округ;СКФО;4,4;15;50,8;NA;15050;64,7;819
5;Республика Дагестан;СКФО;7,9;12,8;54,9;8,3;18278;80;307
6;Республика Ингушетия;СКФО;0;48,8;60,8;18,5;11562;66,8;50
7;Кабардино-Балкарская Республика;СКФО;2,7;10,8;45,7;15,3;12636;61,4;110
9;Карачаево-Черкесская Республика;СКФО;2;9,6;56,9;18,8;11742;36,9;59
15;Республика Северная Осетия - Алания;СКФО;3,3;8,4;36,1;12,6;13757;69,7;48
20;Чеченская Республика;СКФО;0;36,7;65,1;NA;14026;42,2;91
26;Ставропольский край;СКФО;4,8;6;42,6;18,3;14440;63,2;154
1005;Приволжский федеральный округ;ПФО;10,7;6,6;28,9;NA;17282;102,3;2658
2;Республика Башкортостан;ПФО;10,7;7,7;39,2;12,6;19030;121,6;377
12;Республика Марий Эл;ПФО;12,1;10;36,2;24,2;11328;109,6;87
13;Республика Мордовия;ПФО;10,6;5,2;39;20,2;11948;74,5;61
16;Республика Татарстан;ПФО;13,1;4,7;24,3;8,1;20223;102,5;280
18;Удмуртская Республика;ПФО;13,4;7;31,1;14;14452;116,3;148
21;Чувашская Республика;ПФО;14,7;7,7;40,6;19,3;12083;109,4;99
59;Пермский край;ПФО;11,3;7,6;25,1;14,4;21307;116,3;397
43;Кировская область;ПФО;14,9;8,4;25,5;15;14675;99,8;94
52;Нижегородская область;ПФО;11;7,2;21;12,5;18337;94,9;263
56;Оренбургская область;ПФО;6,4;6,3;40,4;14,4;14892;93;240
58;Пензенская область;ПФО;8,3;5,3;32,4;15,4;14171;79,6;63
63;Самарская область;ПФО;9,3;5,1;19,7;15,2;21756;110;264
64;Саратовская область;ПФО;8,4;6;25,2;17,3;13097;73,5;167
73;Ульяновская область;ПФО;7,2;6,9;26,2;16,8;14312;100,9;118
1006;Уральский федеральный округ;УФО;11,9;6,9;19,8;NA;23638;101,3;1469
45;Курганская область;УФО;8,3;10,3;39,6;18,5;14353;107;150
66;Свердловская область;УФО;12,5;7,3;16;10,5;24893;100,5;504
72;Тюменская область;УФО;4,5;5,9;21,3;13;29754;88,4;377
86;Ханты-Мансийский автономный округ - Югра;УФО;13,2;6,3;8,4;11,6;32530;NA;140
89;Ямало-Ненецкий автономный округ;УФО;13,8;3,7;15;7,5;46670;NA;75
74;Челябинская область;УФО;11,4;6,7;17,9;10,8;18460;113,4;438
1007;Сибирский федеральный округ;СФО;11,1;8,2;27,8;NA;16568;101,8;3086
4;Республика Алтай;СФО;9,3;13,4;71,3;18,6;13837;64,7;30
3;Республика Бурятия;СФО;13,8;9,1;41,2;20,1;15715;80,2;221
17;Республика Тыва;СФО;15,2;18,4;46,4;30,6;10963;93,6;140
19;Республика Хакасия;СФО;11,8;7;32,5;18,6;14223;116;103
22;Алтайский край;СФО;9,5;8,7;44,8;22,6;12500;87;284
75;Забайкальский край;СФО;13,5;10,9;33,6;18,9;15969;74,5;329
24;Красноярский край;СФО;11,2;6,1;23,5;18,1;20145;111,3;372
38;Иркутская область;СФО;10,9;9,2;20,4;19,2;16017;117,5;556
42;Кемеровская область;СФО;13,1;8,2;14,6;11,6;16666;127,5;501
54;Новосибирская область;СФО;10,9;6,8;22,4;16,5;18244;101,6;298
55;Омская область;СФО;6,7;7,8;28,4;12,7;17248;91,7;169
70;Томская область;СФО;12;9,1;29,1;17,8;16516;76,5;83
1008;Дальневосточный федеральный округ;ДВФО;13,6;7,4;25,1;NA;22870;103,1;1084
14;Республика Саха (Якутия);ДВФО;11,9;8,8;35,4;18,6;25617;101,8;169
41;Камчатский край;ДВФО;16,6;6,3;22,5;19,2;28965;90;35
25;Приморский край;ДВФО;10,8;8,1;23,7;15,7;19160;121,2;312
27;Хабаровский край;ДВФО;16,7;6,8;18,5;15,8;23766;100,2;214
28;Амурская область;ДВФО;12,3;6,1;33;20,4;17790;93,5;192
49;Магаданская область;ДВФО;17,3;4,5;4,3;13,9;30452;112,2;32
65;Сахалинская область;ДВФО;20;8,2;19,7;11,9;32268;65;79
79;Еврейская автономная область;ДВФО;12,3;8,8;31,9;20,1;16525;94,3;38
87;Чукотский автономный округ;ДВФО;3,7;5,4;34;9;43049;124,1;13
